blocksize,wikitext2_ppl,ptb_ppl,c4_ppl,runtime_sec
16,30.405832290649414,36.85487747192383,28.397092819213867,133.3
32,30.305463790893555,37.093994140625,28.403484344482422,134.5
64,30.4249267578125,36.42392349243164,28.390270233154297,133.8
128,30.269554138183594,37.06663513183594,28.373380661010742,136.6
256,30.28349494934082,36.6252555847168,28.44588279724121,235.0
512,30.358783721923828,36.517311096191406,28.369483947753906,226.0
1024,30.50398063659668,37.137489318847656,28.532825469970703,307.6
