percdamp,wikitext2_ppl,ptb_ppl,c4_ppl,runtime_sec
null,37.27896499633789,45.118316650390625,32.857242584228516,188.9
0.0001,30.650726318359375,38.417930603027344,29.064189910888672,195.1
0.001,30.601591110229492,37.376808166503906,28.700937271118164,164.4
0.005,30.541881561279297,36.965415954589844,28.455215454101562,185.6
0.01,30.269554138183594,37.06663513183594,28.373380661010742,170.6
0.05,30.668685913085938,36.55537796020508,28.397634506225586,139.2
0.1,30.389293670654297,36.46979904174805,28.435791015625,132.2
0.2,30.336767196655273,36.406532287597656,28.28012466430664,141.6
0.5,30.648160934448242,36.650691986083984,28.44902992248535,132.1
