wbits,mse,wikitext2_ppl,ptb_ppl,c4_ppl,runtime_sec
4,False,30.269554138183594,37.06663513183594,27.20524024963379,122.0
4,True,31.895732879638672,38.36294937133789,28.224512100219727,123.4
3,False,45.91472244262695,71.11677551269531,42.976707458496094,128.5
3,True,57.140201568603516,89.09205627441406,58.57638168334961,112.5
