method,wikitext2_ppl,wikitext2_target,ptb_ppl,ptb_target,c4_ppl,c4_target,runtime_sec
fp16,27.653175354003906,27.65,32.55255889892578,38.99,24.605560302734375,26.56,60.6
rtn_4bit,37.27896499633789,37.28,45.118316650390625,53.89,31.64120101928711,33.91,61.5
gptq_4bit,30.269554138183594,31.12,37.06663513183594,45.17,27.20524024963379,29.22,74.7
rtn_3bit,1277.0244140625,1300,1209.02490234375,1400,731.5079345703125,834,62.2
gptq_3bit,45.91472244262695,53.85,71.11677551269531,73.19,42.976707458496094,42.41,75.3
